unique_id,timestamp,y_pred,y_proba,query,model_version,runtime
c746181f-f60b-491e-878c-202d477b2069,1602564968.500511,[184311.813],None,2018-01-05,0.1,000:00:33
8b8e60db-fb85-4a22-9475-cad5debeb8eb,1602566691.6840022,[184311.813],None,2018-01-05,0.1,000:00:32
1b4305bc-7e21-4c34-8f81-9d0b1d7b83a7,1602568017.3717172,[184311.813],None,2018-01-05,0.1,000:00:31
b19370c4-8aa4-48cb-a8cf-b21ff85c6d04,1602568251.928715,[184311.813],None,2018-01-05,0.1,000:00:31
1900537b-98b9-4ec3-b79d-e57b7a021511,1602568464.25565,[184311.813],None,2018-01-05,0.1,000:00:35
6eaa566e-4b5c-4ca5-9020-de3e0d78bfa9,1602568765.655039,[184311.813],None,2018-01-05,0.1,000:00:39
bb1b6f28-e6eb-47a4-804f-ba7212189a6b,1602569058.118594,[184311.813],None,2018-01-05,0.1,000:00:36
1de81083-f9cb-41a3-861d-8dda3e9e28d1,1602569441.884492,[184311.813],None,2018-01-05,0.1,000:00:39
3bbbd2df-4b72-4090-8c38-4c761bbdad98,1602569577.1498592,[184311.813],None,2018-01-05,0.1,000:00:37
7c5a5c2a-89c7-486b-bc41-6908da15e3ba,1602570110.2877069,[184311.813],None,2018-01-05,0.1,000:00:32
f03b3716-704f-4eff-966f-9055b3a6f76f,1602570391.201539,[184311.813],None,2018-01-05,0.1,000:00:37
478278d4-b654-4e4b-9288-28fb409c3e98,1602570638.012362,[184311.813],None,2018-01-05,0.1,000:00:32
7a87b298-023c-4227-9106-8b478234f4c6,1602570987.1869981,[184311.813],None,2018-01-05,0.1,000:00:31
fbeb1aff-93ac-40c1-ab55-a1e1f21f3084,1602571257.705751,[184311.813],None,2018-01-05,0.1,000:00:31
ef5137ee-0414-44ad-9241-1044904e75e6,1602571439.9881349,[184311.813],None,2018-01-05,0.1,000:00:32
5aed70d5-4ebf-436c-b688-19451d75b418,1602571772.533705,[184311.813],None,2018-01-05,0.1,000:00:31
c12df596-852b-421d-be31-a5c3ce734bb9,1602572005.908415,[184311.813],None,2018-01-05,0.1,000:00:35
fdefcc91-db2d-4469-88f9-f763574a3f51,1602572352.6667762,[184311.813],None,2018-01-05,0.1,000:00:31
a0bf2f27-0da9-4880-9c70-770c560b1b75,1602572535.89948,[184311.813],None,2018-01-05,0.1,000:00:32
d2f40ffa-504e-41de-af1e-61f279204a05,1602643987.923146,[184311.813],None,2018-01-05,0.1,000:00:42
1451ad08-d434-43c8-b19f-41dd6db80d55,1602648611.242671,[182947.9],None,2018-01-05,0.1,000:00:34
d8584223-a555-403d-83ca-0262e67cbf72,1602734629.014914,[183380.5008],None,2018-01-05,0.1,000:00:43
881edad5-7abc-4398-834e-3dcaab4e537e,1602737138.6896698,[2371.1845],None,2018-01-05,0.1,000:00:48
ee000029-550f-4007-a959-4aed141a286a,1602737349.44975,[183380.5008],None,2018-01-05,0.1,000:00:40
2b7b9045-4e15-4d1f-a367-a469086d2616,1602737505.3846478,[1553.932],None,2018-01-05,0.1,000:00:43
5ba745ae-36f2-4edf-a8c8-2e7ee1f4c6f4,1603079748.268516,[183819.6325],None,2018-01-05,0.1,000:00:33
d1c6cc3b-04f1-4f51-b0ab-952ec2de0c3a,1603080359.372928,[183977.738],None,2018-01-05,0.1,000:00:40
6002d945-055e-43a4-bfc8-8e498b60160d,1603080918.217408,[184542.27633333],None,2018-01-05,0.1,000:00:35
5ecaa4bd-a0f9-45a9-b1fc-b4c84a5638ab,1603081421.593836,[184542.27633333],None,2018-01-05,0.1,000:00:38
30bfca05-71b4-495e-b57a-2d127cbbfe1e,1603081987.2096,[184542.27633333],None,2018-01-05,0.1,000:00:40
2a0da0e5-96eb-4995-b19f-500944645e6a,1603090929.414391,[184542.27633333],None,2018-01-05,0.1,000:00:41
17c8191d-3953-4a78-9e39-bc39645677a2,1603091075.048168,[184542.27633333],None,2018-01-05,0.1,000:00:40
89b3f2d0-ef22-42bf-b1cb-763c41b6d5b1,1603091316.339164,[184542.27633333],None,2018-01-05,0.1,000:00:41
515ddcd8-5af1-4146-a99c-1ea194e908f0,1603091442.424098,[184542.27633333],None,2018-01-05,0.1,000:00:39
c7690d28-e4e3-47d7-8b8a-3edfa072ce79,1603091683.349152,[184542.27633333],None,2018-01-05,0.1,000:00:39
46243440-efad-4f6c-a5c6-7ccfda6fe8f7,1603091976.4728372,[184542.27633333],None,2018-01-05,0.1,000:00:36
84309f03-4b3d-4728-a034-b0c0f023d972,1603093646.971292,[184542.27633333],None,2018-01-05,0.1,000:00:38
f9df65c2-a5b0-44bf-aa30-d08a5fb86448,1603093799.2192168,[184542.27633333],None,2018-01-05,0.1,000:00:43
37f0756c-a620-42cc-a213-01bac94485d2,1603093959.470525,[184542.27633333],None,2018-01-05,0.1,000:00:43
